seat_code,state,seat,current_party,personal_name
P083,Pahang,Kuantan,PKR,FUZIAH BINTI SALLEH
P084,Pahang,Paya Besar,UMNO,MOHD SHAHAR BIN ABDULLAH
P085,Pahang,Pekan,UMNO,MOHD NAJIB BIN TUN ABD RAZAK
P086,Pahang,Maran,UMNO,ISMAIL BIN ABD. MUTTALIB
P087,Pahang,Kuala Krau,UMNO,ISMAIL BIN MOHAMED SAID
P088,Pahang,Temerloh,AMANAH,MOHD. ANUAR MOHD. TAHIR
P089,Pahang,Bentong,DAP,WONG TACK
P090,Pahang,Bera,UMNO,ISMAIL SABRI BIN YAAKOB
P091,Pahang,Rompin,UMNO,HASAN BIN ARIFIN
P092,Selangor,Sabak Bernam,PPBM,MOHD FASIAH BIN MOHD FAKEH
P093,Selangor,Sungai Besar,PPBM,MUSLIMIN BIN YAHAYA
P094,Selangor,Hulu Selangor,PKR,JUNE LEOW HSIAD HUI
P095,Selangor,Tanjong Karang,UMNO,NOH BIN OMAR
P096,Selangor,Kuala Selangor,AMANAH,DZULKEFLY BIN AHMAD
P097,Selangor,Selayang,PKR,WILLIAM LEONG JEE KEEN
P098,Selangor,Gombak,PPBM,MOHAMED AZMIN BIN ALI
P099,Selangor,Ampang,PPBM,ZURAIDA BINTI KAMARUDDIN
P100,Selangor,Pandan,PKR,WAN AZIZAH BINTI WAN ISMAIL
P101,Selangor,Hulu Langat,AMANAH,HASANUDDIN BIN MOHD YUNUS
P102,Selangor,Bangi,DAP,ONG KIAN MING
P103,Selangor,Puchong,DAP,GOBIND SINGH DEO
P104,Selangor,Subang,PKR,WONG CHEN
P105,Selangor,Petaling Jaya,PKR,MARIA CHIN BINTI ABDULLAH
P106,Selangor,Damansara,DAP,PUA KIAM WEE
P107,Selangor,Sungai Buloh,PKR,SIVARASA A/L K. RASIAH
P108,Selangor,Shah Alam,AMANAH,KHALID BIN ABD SAMAD
P109,Selangor,Kapar,PKR,ABDULLAH SANI BIN ABDUL HAMID
P110,Selangor,Klang,DAP,CHARLES ANTHONY A/L SANTIAGO
P111,Selangor,Kota Raja,AMANAH,MOHAMAD BIN SABU
P112,Selangor,Kuala Langat,IND,XAVIER JAYAKUMAR A/L ARULANANDRAM
P113,Selangor,Sepang,AMANAH,MOHAMED HANIPA BIN MAIDIN
P114,W.P. Kuala Lumpur,Kepong,DAP,LIM LIP ENG
P115,W.P. Kuala Lumpur,Batu,PKR,PRABAKARAN A/L M PARAMESWARAN
